Loại tiền,31/12/2019,31/12/2020,31/12/2021,31/12/2022,30/6/2023
AUD,"1,48002","1,35001","1,35843","1,52318","1,50241"
CAD,"1,32998","1,29997","1,24910","1,34352","1,35230"
CHF,"1,00000","0,89999","0,92161","0,97132","0,89421"
CNY,"7,03007","6,57990","6,39016","7,19131","6,96702"
DKK,"6,79079","6,21975","6,48877","7,33384","6,82237"
EUR,"0,91000","0,84001","0,87261","0,98617","0,91616"
GBP,"0,77000","0,75000","0,73811","0,85772","0,80029"
INR,"71,42901","73,82484","74,36012","81,94117","82,15277"
JPY,"109,68246","103,95067","113,92118","143,52121","135,97701"
KRW,"1.157,15000","1.103,85714","1.156,30000","1.393,00000","1.314,44444"
KWD,"0,30000","0,31000","0,29999","0,31000","0,30999"
MYR,"4,16991","4,06970","4,16609","4,64060","4,49638"
NOK,"9,16918","8,83086","8,61624","10,18099","10,74965"
NZD,"1,56003","1,41997","1,41642","1,66556","1,60602"
SDR,"0,72839","0,69926","0,71388","0,76054","0,75331"
SEK,"9,55138","8,49121","8,73338","10,72995","10,36355"
SGD,"1,36998","1,34002","1,35350","1,39250","1,33747"
THB,"30,21279","30,26240","33,03714","36,71472","34,14141"
VND,"23.143,00000","23.181,00000","23.126,00000","23.681,00000","23.660,00000"